ERROR:root:Exception met in WFG2_lhs_init10seed_1_5fb06354-1ab3-11eb-aa02-40b034171640_results, seed 1, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.ParEgo'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.ParEgo'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.ParEgo'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.ParEgo'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.ParEgo'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.ParEgo'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
**********

ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

